,eng,tok
1181,do you mind if i use your back legs as a towelhorse because i mean there they aredoing nothingand it would be very convenient just to hang the towels on them,ni li pona tawa sina anu seme mi kepeken e noka sina sama ilo kili tan ni tawa mi la ona li pali ala jan li ken kili e len lon supa ona la ni li pana e pona pali

1182,a week said pooh gloomily,tenpo suno esun a li toki pi soweli pu pi pilin ike

1183,what about meals,ijo moku li seme

1184,i’m afraid no meals said christopher robin,mi pilin ike tan ni moku li lon ala li toki pi jan kitopa jopin

1185,because of getting thin quicker,ni pona pali e ni sina ken kama sin suli ala

1186,but we will read to you,taso mi mute li ken lukin e sitelen tawa sina

1187,bear began to sigh and then found he couldn’t because he was so tightly stuck,soweli pi luka wawa li kama a pi pilin ike li kama lukin e ni ona li ken ala tan ni ona li lon insa pi lili ike ni

1188,and a tear rolled down his eye,wan telo li kama anpa tan lukin ona

1189,as he said,ona li toki e ni

1190,then would you read a sustaining book such as would help and comfort a wedged bear in great tightness,ni la sina ken lukin e sitelen pi lipu ona li pana e wawa anu seme li pana e pona e pilin pona tawa soweli pi luka wawa lon insa ike

1191,so for a week christopher robin read that sort of book at the north end of pooh and rabbit hung his washing on the south end … and in between bear felt himself getting slenderer and slenderer,ni la ale pi tenpo suno esun la jan kitopa jopin li lukin e sitelen pi lipu ni lon poka pi suno ala soweli pi kute suli li kili e len telo lon poka suno

1192,and at the end of the week christopher robin said now,pini pi tenpo suno esun la jan kitopa jopin li toki e ni o

1193,so he took hold of pooh’s front paws,ni la ona li kama awen e luka pi soweli pu

1194,and rabbit took hold of christopher robin,sin ni la soweli pi kute suli li kama awen e jan kitopa jopin

1195,and all rabbit’s friends and relations took hold of rabbit,sin la jan pona ale pi soweli pi kute suli en jan sama li kama awen e soweli pi kute suli

1196,and they all pulled together…,jan ale li lukin tan e soweli pu…

1197,and for a long time pooh only said ow …,tenpo suli la soweli pu li toki e ni taso ike …

1198,and oh …,e ni o …

1199,and then all of a sudden he said pop,ni la lon tenpo lili la ona li toki e ni po

1200,just as if a cork were coming out of a bottle,ni li sama ilo len ona li kama tan lupa poki

1201,and christopher robin and rabbit and all rabbit’s friends and relations went headoverheels backwards…,jan kitopa jopin en soweli pi kute suli en jan pona ale ona en jan sama ale ona li tawa sike tawa monsi…

1202,and on the top of them came winniethepoohfree,supa ona la soweli wini pu li kama  taso

1203,so with a nod of thanks to his friends he went on with his walk through the forest humming proudly to himself,ni la ona li a kepeken lawa tawa jan pona mute li awen sin tawa lon ma pi kasi suli li kalama musi kepeken uta pi open ala tawa ona sama

1204,but christopher robin looked after him lovingly and said to himself silly old bear,taso jan kitopa jopin li lukin e monsi tawa ona kepeken pilin olin li toki tawa ona sama e ni soweli nasa pi luka wawa o

1205,chapter iii,wan lipu nanpa mute

1206,in which pooh and piglet go hunting and nearly catch a woozle,ona la soweli pu en soweli lili li alasa li alasa pi lili ike e soweli pi kiwen uta wawa

1207,the piglet lived in a very grand house in the middle of a beechtree,soweli lili li jo e tomo pi suli mute lon insa pi kasi suli

1208,and the beechtree was in the middle of the forest,kasi suli ni li lon insa pi ma pi kasi suli

1209,and the piglet lived in the middle of the house,soweli lili li jo e tomo lon insa pi tomo ni

1210,next to his house was a piece of broken board which had,poka pi tomo ona la lipu suli li lon

1211,trespassers w on it,ona li jo e sitelen jan pi tawa akesi w

1212,when christopher robin asked the piglet what it meant he said it was his grandfather’s name and had been in the family for a long time,jan kitopa jopin li wile sona tan soweli lili e kon ona la ona li toki e ni ni li nimi pi mama mama li ijo pi kulupu mama tan kama pi tenpo suli

1213,christopher robin said you couldn’t be called trespassers w,jan kitopa jopin li toki e ni jan li ken ala jo e nimi jan pi tawa akesi w

1214,and piglet said yes you could because his grandfather was,soweli lili li toki e ni jan li ken jo tan ni mama mama ona li jo

1215,and it was short for trespassers will,ale pi nimi ni li jan pi tawa akesi wi

1216,which was short for trespassers william,ale pi nimi ni li ni jan pi tawa akesi wilijen

1217,and his grandfather had had two names in case he lost onetrespassers after an uncle and william after trespassers,mama mama ona li jo e nimi tu tan ken pi ike kama ni ona li pini jo e wan ona jan pi tawa ike lon pini pi mama sama wilijen lon pini pi jan pi tawa ike

1218,i’ve got two names said christopher robin carelessly,mi jo e nimi tu li toki pi jan kitopa jopin kepeken pilin ala

1219,well there you are that proves it said piglet,ni ni li pana e pilin sona li toki pi soweli lili

1220,one fine winter’s day when piglet was brushing away the snow in front of his house he happened to look up,tenpo suno pi tenpo lete pi pona lukin la soweli pi palisa monsi sike li weka e ko lete tan sinpin pi lupa tomo ona la tan ken la ona li lukin e sewi

1221,and there was winniethepooh,ni la soweli wini pu li lon

1222,pooh was walking round and round in a circle thinking of something else,soweli pu li tawa lon poka sike li tawa lon poka sike li toki insa e ijo pi ijo ante

1223,and when piglet called to him he just went on walking,soweli pi palisa monsi sike li toki wawa tawa ona la ona li awen tawa a

1224,hallo said piglet,toki li toki pi soweli lili

1225,what are you doing,sina pali seme

1226,hunting said pooh,mi alasa li toki pi soweli pu

1227,hunting what,sina alasa e seme li toki pi soweli pu

1228,tracking something said winniethepooh very mysteriously,mi lukin e sitelen noka ijo li toki pi soweli wini pu tan weka sona nasa

1229,tracking what said piglet,sina lukin e sitelen noka seme li toki pi soweli lili

1230,coming closer,ona li tawa poka

1231,that’s just what i ask myself,mi toki e ni a tawa mi

1232,i ask myself what,mi toki e ni tawa mi seme

1233,what do you think you’ll answer,tawa sina la sina toki sin e seme

1234,i shall have to wait,mi wile awen

1235,until i catch up with it said winniethepooh,mi pini kama e ni mi alasa e ona li toki pi soweli wini pu

1236,now look there,o lukin e ni

1237,he pointed to the ground in front of him,ona li palisa e anpa lon sinpin

1238,what do you see there,sina lukin e seme

1239,tracks said piglet pawmarks,sitelen noka li toki pi soweli lili

1240,he gave a little squeak of excitement,ona li kalama lili kepeken uta lili tan pilin pi nasa wawa

1241,oh pooh,soweli pu o

1242,do you think it’s aaa woozle,tawa sina la ni li … ni li … ni li soweli pi kiwen uta wawa anu seme

1243,it may be said pooh,ken la ni li toki pi soweli pu

1244,sometimes it is,tenpo wan la ni

1245,and sometimes it isn’t,tenpo ante la ala

1246,you never can tell with pawmarks,tenpo ala la jan li ken kama sona e ijo pi sitelen noka

1247,with these few words he went on tracking,pini pi nimi ni pi mute ala la ona li awen lukin e sitelen noka

1248,and piglet after watching him for a minute or two ran after him,soweli lili li lukin e ona lon tenpo pi mute wan li tawa wawa tawa monsi ona

1249,winniethepooh had come to a sudden stop and was bending over the tracks in a puzzled sort of way,soweli wini pu li pini tawa lon tenpo lili li kama anpa lon sewi pi sitelen noka li pilin pi weka sona nasa

1250,what’s the matter asked piglet,seme li lon li toki pi soweli lili

1251,it’s a very funny thing said bear,ni li ijo nasa li toki pi soweli pi luka wawa

1252,but there seem to be two animals now,taso tawa mi la tenpo ni la soweli tu li lon

1253,thiswhateveritwashas been joined by anotherwhateveritis,soweli mu ni li kama lon poka pi soweli mu ante

1254,and the two of them are now proceeding in company,soweli tu ni li awen tawa lon poka kulupu

1255,would you mind coming with me piglet in case they turn out to be hostile animals,tawa sina la ni li pona anu seme sina tawa lon poka mi  soweli lili o  tan ken ni pi ike kama ona tu li utala

1256,piglet scratched his ear in a nice sort of way and said that he had nothing to do until friday and would be delighted to come in case it really was a woozle,soweli lili li luka kiwen e kute li suwi lukin li toki e ni ona li pali ala lon tenpo suno esun ni li wile kama tan ken ni ni li lon li soweli pi kiwen uta wawa

1257,you mean in case it really is two woozles said winniethepooh,sina wile toki e ni ni li soweli tu pi kiwen uta wawa li toki pi soweli wini pu

1258,and piglet said that anyhow he had nothing to do until friday,soweli lili li toki e ni taso ona li pali ala lon tenpo suno esun ni

1259,so off they went together,ni la ona tu li tawa lon poka kulupu

1260,there was a small spinney of larch trees just here,mute lili pi kasi suli anpa li lon ni

1261,and it seemed as if the two woozles if that is what they were had been going round this spinney,tawa lukin la soweli tu pi kiwen uta wawa  ona tu li ni la  li tawa lon poka sike pi mute ni pi kasi suli moli

1262,so round this spinney went pooh and piglet after them,sama ni la soweli pu en soweli lili pi palisa monsi sike li tawa lon poka sike pi mute ni pi kasi suli moli lon monsi pi ona tu

1263,piglet passing the time by telling pooh what his grandfather trespassers w had done to remove stiffness after tracking,soweli pi palisa monsi sike li musi li toki e ni tawa soweli pu mama mama pi tawa akesi w li pini lukin e sitelen noka la ona li wile weka e kiwen tan noka la ona li pali ona

1264,and how his grandfather trespassers w had suffered in his later years from shortness of breath,sin la ona li toki e ni sike suno pini ona la mama mama pi tawa akesi w li pilin ike tan weka kon

1265,and other matters of interest,sin la ona li toki e ijo ante pi pona sona

1266,and pooh wondering what a grandfather was like,soweli pu li pilin pi weka sona ni mama mama li seme

1267,and if perhaps this was two grandfathers they were after now,ken la ona tu li alasa e mama mama tu anu seme

1268,and if so whether he would be allowed to take one home and keep it,ni la ona li ken tawa tomo e wan ona li ken awen e ona anu seme

1269,and what christopher robin would say,jan kitopa jopin li toki e seme pi ijo ni

1270,and still the tracks went on in front of them…,sin la sitelen noka li awen lon sinpin ona…

1271,suddenly winniethepooh stopped and pointed excitedly in front of him,tenpo lili la soweli wini pu li pini tawa li pilin pi nasa wawa li palisa e sinpin

1272,look,o lukin

1273,what said piglet with a jump,e seme li toki pi soweli lili li noka e anpa li tawa sewi

1274,and then to show that he hadn’t been frightened,ona li wile sama ni ona li pilin akesi ala

1275,he jumped up and down once or twice more,tan ni la ona li noka e anpa li tawa sewi lon tenpo pi wan anu tu

1276,in an exercising sort of way,kepeken ni la ona li sama pona e sijelo kepeken tawa

1277,the tracks said pooh,sitelen noka a li toki pi soweli pu

1278,a third animal has joined the other two,soweli nanpa mute li kama lon poka pi tu ante

1279,pooh cried piglet,soweli pu o li toki wawa pi soweli lili

1280,do you think it is another woozle,tawa sina la ni li soweli pi kiwen uta wawa ante

1281,no said pooh,ala li toki pi soweli pu

1282,because it makes different marks,tan ni ona li lon e sitelen ante

1283,it is either two woozles and one as it might be wizzle,ken wan la ni li soweli tu pi kiwen uta wawa en soweli lili wan pi kiwen uta wawa

1284,or two as it might be wizzles and one if so it is woozle,ken ante la ni li soweli lili tu pi kiwen uta wawa en soweli suli wan pi kiwen uta

1285,let us continue to follow them,mi o awen tawa lon monsi ona

1286,so they went on feeling just a little anxious now in case the three animals in front of them were of hostile intent,ni la ona tu li awen tawa li pilin lili pi ken ike ni soweli lon sinpin ona li utala

1287,and piglet wished very much that his grandfather t w were there instead of elsewhere,soweli lili li wile mute e ni mama mama t w li lon ni li lon ijo ante ala

1288,and pooh thought how nice it would be if they met christopher robin suddenly but quite accidentally and only because he liked christopher robin so much,soweli pu li toki insa e ni ona li kama lon poka pi jan kitopa jopin lon tenpo lili tan ken pi lili ale tan ni taso tawa ona la jan kitopa jopin li pona mute

1289,and then all of a sudden winniethepooh stopped again and licked the tip of his nose in a cooling manner for he was feeling more hot and anxious than ever in his life before,ni la tenpo lili la soweli wini pu li pini tawa lon tenpo sin li pana e lete li uta e nena pi sinpin lawa kepeken palisa uta tan ni ona li pilin seli en akesi pi mute nanpa wan

1290,there were four animals in front of them,soweli tu tu li lon sinpin ona tu

1291,do you see piglet,sina lukin e ni anu seme

1292,look at their tracks,o lukin e sitelen noka ona

1293,three as it were woozles and one as it was wizzle,soweli mute pi kiwen uta wawa en soweli lili pi kiwen uta wawa

1294,another woozle has joined them,soweli pi kiwen uta wawa li kama lon poka ona

1295,and so it seemed to be,tawa jan la ni li lon

1296,there were the tracks,sitelen noka li lon

1297,crossing over each other here getting muddled up with each other there,ona li kama lon poka ante lon ni wan li kama wan nasa lon ni ante

1298,but quite plainly every now and then the tracks of four sets of paws,taso jan li ken lukin pona e ni lon tenpo pi mute wan sitelen pi noka tu tu tu li lon

1299,i think said piglet when he had licked the tip of his nose too and found that it brought very little comfort i think that i have just remembered something,tawa mi la  li toki pi soweli lili lon tenpo ni ona sin li uta e nena pi sinpin lawa taso tawa ona la ni li pana e pilin pi pona lili  tawa mi la mi kama sin awen sona e ijo

1300,i have just remembered something that i forgot to do yesterday and shan’t be able to do tomorrow,mi kama sin awen sona e ijo mi pini sona e ona lon tenpo suno pini mi ken ala pali e ona lon tenpo suno kama

1301,so i suppose i really ought to go back,tan ni la mi wile tawa monsi

1302,and do it now,mi wile pali e ona lon tenpo ni

1303,we’ll do it this afternoon,mi tu li pali e ona lon pini pi tenpo suno ni

1304,and i’ll come with you said pooh,mi tawa lon poka sina li toki pi soweli pu

1305,it isn’t the sort of thing you can do in the afternoon said piglet quickly,jan li ken ala pali e ona ni lon pini pi tenpo suno li toki pi soweli lili lon tenpo lili

1306,it’s a very particular morning thing,ona li ijo wan pi kama pi tenpo suno

1307,that has to be done in the morning,jan li wile pali e ona lon kama pi tenpo suno

1308,and if possible between the hours of,jan li ken la ona o pali e ona lon 

1309,what would you say the time was,tawa sina la wan seme pi tenpo suno li lon

1310,about twelve said winniethepooh looking at the sun,poka pi insa pi tenpo suno li lon li toki pi soweli wini pu ona li lukin e suno

1311,between as i was saying the hours of twelve and twelve five,lon  ni li toki mi  insa pi tenpo suno

1312,so really dear old pooh if you’ll excuse mewhat’s that,tan ni la ni la jan pona pu o sina wile weka e ike mi la  seme li lon

1313,pooh looked up at the sky and then as he heard the whistle again he looked up into the branches of a big oaktree and then he saw a friend of his,soweli pu li lukin e sewi li kute e kalama kon uta lon tenpo sin la ona li lukin e sewi e palisa pi kasi suli li kama lukin e jan pona ona

1314,it’s christopher robin he said,ni li jan kitopa jopin li toki ona

1315,ah then you’ll be all right said piglet,a ni la sina pona li toki pi soweli lili

1316,you’ll be quite safe with him,sina pona lon poka ona

1317,goodbye,mi tawa

1318,and he trotted off home as quickly as he could very glad to be out of all danger again,ona li tawa weka tawa tomo li pilin pona tan ni ona li pilin pi pona mute tan ni oni li lon weka pi ken pi ike kama

1319,christopher robin came slowly down his tree,jan kitopa jopin li kama anpa tan kasi suli ona

1320,silly old bear he said,soweli nasa pi luka wawa o li toki ona

1321,what were you doing,sina pali e seme

1322,first you went round the spinney twice by yourself,tenpo nanpa wan la sina tawa lon poka sike pi mute pi kasi suli moli

1323,and then piglet ran after you,pini ni la soweli lili li tawa wawa tawa monsi sina

1324,and you went round again together,sina tu li tawa lon poka sike lon tenpo sin lon poka kulupu

1325,and then you were just going round a fourth time,sin la sina tu li tawa lon poka sike lon tenpo nanpa tu tu

1326,wait a moment said winniethepooh holding up his paw,o awen lili li toki pi soweli wini pu ona li sewi e luka

1327,he sat down and thought in the most thoughtful way he could think,ona li kama anpa lon supa li toki insa pi wawa mute

1328,then he fitted his paw into one of the tracks…,pini ni la ona li lon sitelen luka e luka

1329,and then he scratched his nose twice and stood up,pini ni la ona li luka kiwen e nena pi sinpin lawa lon tenpo tu li kama sinpin

1330,yes said winniethepooh,lon li toki pi soweli wini pu

1331,i see now said winniethepooh,mi sona lon tenpo ni li toki pi soweli wini pu

1332,i have been foolish and deluded said he,mi nasa li toki ona

1333,and i am a bear of no brain at all,mi soweli pi luka wawa pi lawa pi ala ale

1334,you’re the best bear in all the world said christopher robin soothingly,sina soweli pi luka wawa pi pona nanpa wan li toki suwi pi jan kitopa jopin

1335,am i said pooh hopefully,mi ni anu seme li toki pi soweli pu ona li pilin pi ken pi pona kama

1336,and then he brightened up suddenly,ni la ona li kama sin pilin pona lon tenpo lili

1337,anyhow he said,mu li toki ona

1338,it is nearly luncheon time,tenpo moku li kama

1339,so he went home for it,ni la ona li tawa tomo tawa moku

